                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3657,                0.95789,                0.99903,                 2.7722,              0.0033326,              0.0033326,              0.0033326
                      2,                0.22238,                0.98196,                0.99977,                 2.7147,               0.006226,               0.006226,               0.006226
                      3,                0.17345,                0.98498,                0.99994,                 2.7059,              0.0086793,              0.0086793,              0.0086793
                      4,                0.16532,                0.99027,                0.99989,                 2.6972,                0.00802,                0.00802,                0.00802
                      5,                0.10952,                0.99357,                0.99989,                 2.6919,                0.00736,                0.00736,                0.00736
