                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 0.7841,                 1.5912,                 1.3304,                0.77351,                 0.3797,                0.57613,                 0.4459,                 1.7105,                  2.368,                 1.5125,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0673,                 1.7299,                 1.3405,                0.77326,                0.37552,                0.57726,                0.44617,                 1.6835,                 2.3562,                 1.4994,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.1992,                 1.8956,                 1.5437,                0.77326,                0.37552,                0.57726,                0.44617,                 1.6835,                 2.3562,                 1.4994,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.89331,                 1.1181,                 1.2629,                0.77453,                0.37919,                0.49449,                0.35516,                 1.6773,                 2.3519,                 1.4937,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.91254,                 1.4368,                 1.3211,                0.77453,                0.37919,                0.49449,                0.35516,                 1.6773,                 2.3519,                 1.4937,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.0256,                 1.0468,                 1.3314,                0.77524,                0.38007,                0.45322,                 0.3191,                 1.6657,                 2.3478,                 1.4826,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.60411,                0.94715,                0.97116,                0.77524,                0.38007,                0.45322,                 0.3191,                 1.6657,                 2.3478,                 1.4826,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.68919,                0.78884,                 1.1536,                0.77483,                0.38199,                0.49509,                0.36528,                 1.6633,                 2.3322,                 1.4841,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.71424,                0.93887,                 1.1204,                0.77483,                0.38199,                0.49509,                0.36528,                 1.6633,                 2.3322,                 1.4841,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.0087,                 1.0533,                 1.2471,                0.94083,                0.38333,                0.44673,                0.31326,                 1.6885,                 2.3177,                 1.4902,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.87634,                 1.1402,                 1.1554,                0.94083,                0.38333,                0.44673,                0.31326,                 1.6885,                 2.3177,                 1.4902,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                  1.017,                 1.4464,                 1.4694,                0.93946,                0.38333,                0.44642,                0.31636,                 1.6786,                 2.3264,                 1.4793,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.69765,                 1.0745,                  1.133,                0.93946,                0.38333,                0.44642,                0.31636,                 1.6786,                 2.3264,                 1.4793,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.73335,                 1.3511,                 1.1322,                0.94168,                0.38718,                0.41822,                0.29423,                 1.6978,                 2.3393,                 1.4994,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.81376,                 1.0978,                 1.2226,                0.94168,                0.38718,                0.41822,                0.29423,                 1.6978,                 2.3393,                 1.4994,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.74019,                0.94045,                 1.1803,                0.93802,                0.38617,                0.41785,                0.29412,                 1.6975,                 2.3337,                 1.4925,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.78441,                 1.1175,                 1.1481,                0.93802,                0.38617,                0.41785,                0.29412,                 1.6975,                 2.3337,                 1.4925,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.93412,                 1.2935,                 1.3177,                0.93059,                0.38675,                 0.4205,                0.32758,                 1.7054,                 2.3543,                 1.5076,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.63479,                0.91182,                 1.1092,                0.93059,                0.38675,                 0.4205,                0.32758,                 1.7054,                 2.3543,                 1.5076,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.83211,                 1.1011,                  1.244,                0.93031,                0.38663,                0.42135,                0.32714,                  1.724,                 2.3795,                 1.5173,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.80961,                 1.6217,                 1.1939,                0.93031,                0.38663,                0.42135,                0.32714,                  1.724,                 2.3795,                 1.5173,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.64451,                 1.0898,                 1.0828,                0.93031,                0.38663,                0.42135,                0.32714,                  1.724,                 2.3795,                 1.5173,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.73603,                 1.0358,                 1.0888,                0.92786,                0.38725,                0.42505,                0.32831,                 1.7145,                 2.3179,                 1.5146,             2.9977e-05,             2.9977e-05,             2.9977e-05
