                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                    nan,                0.08333,                0.58333,                    nan,             0.00016743,             0.00016743,             0.00016743
                     66,                    nan,                0.08333,                0.58333,                    nan,             0.00016545,             0.00016545,             0.00016545
                     67,                    nan,                0.08333,                0.58333,                    nan,             0.00016333,             0.00016333,             0.00016333
                     68,                    nan,                0.08333,                0.58333,                    nan,             0.00016107,             0.00016107,             0.00016107
                     69,                    nan,                0.08333,                0.58333,                    nan,             0.00015867,             0.00015867,             0.00015867
                     70,                    nan,                0.08333,                0.58333,                    nan,             0.00015612,             0.00015612,             0.00015612
                     71,                    nan,                0.08333,                0.58333,                    nan,             0.00015344,             0.00015344,             0.00015344
                     72,                    nan,                0.08333,                0.58333,                    nan,             0.00015061,             0.00015061,             0.00015061
                     73,                    nan,                0.08333,                0.58333,                    nan,             0.00014764,             0.00014764,             0.00014764
                     74,                    nan,                0.08333,                0.58333,                    nan,             0.00014453,             0.00014453,             0.00014453
                     75,                    nan,                0.08333,                0.58333,                    nan,             0.00014128,             0.00014128,             0.00014128
                     76,                    nan,                0.08333,                0.58333,                    nan,             0.00013789,             0.00013789,             0.00013789
                     77,                    nan,                0.08333,                0.58333,                    nan,             0.00013436,             0.00013436,             0.00013436
                     78,                    nan,                0.08333,                0.58333,                    nan,             0.00013068,             0.00013068,             0.00013068
                     79,                    nan,                0.08333,                0.58333,                    nan,             0.00012687,             0.00012687,             0.00012687
                     80,                    nan,                0.08333,                0.58333,                    nan,             0.00012291,             0.00012291,             0.00012291
                     81,                    nan,                0.08333,                0.58333,                    nan,             0.00011881,             0.00011881,             0.00011881
                     82,                    nan,                0.08333,                0.58333,                    nan,             0.00011457,             0.00011457,             0.00011457
                     83,                    nan,                0.08333,                0.58333,                    nan,             0.00011019,             0.00011019,             0.00011019
                     84,                    nan,                0.08333,                0.58333,                    nan,             0.00010566,             0.00010566,             0.00010566
                     85,                    nan,                0.08333,                0.58333,                    nan,               0.000101,               0.000101,               0.000101
                     86,                    nan,                0.08333,                0.58333,                    nan,             9.6194e-05,             9.6194e-05,             9.6194e-05
                     87,                    nan,                0.08333,                0.58333,                    nan,             9.1246e-05,             9.1246e-05,             9.1246e-05
                     88,                    nan,                0.08333,                0.58333,                    nan,             8.6158e-05,             8.6158e-05,             8.6158e-05
                     89,                    nan,                0.08333,                0.58333,                    nan,             8.0928e-05,             8.0928e-05,             8.0928e-05
                     90,                    nan,                0.08333,                0.58333,                    nan,             7.5556e-05,             7.5556e-05,             7.5556e-05
                     91,                    nan,                0.08333,                0.58333,                    nan,             7.0043e-05,             7.0043e-05,             7.0043e-05
                     92,                    nan,                0.08333,                0.58333,                    nan,             6.4389e-05,             6.4389e-05,             6.4389e-05
                     93,                    nan,                0.08333,                0.58333,                    nan,             5.8594e-05,             5.8594e-05,             5.8594e-05
                     94,                    nan,                0.08333,                0.58333,                    nan,             5.2657e-05,             5.2657e-05,             5.2657e-05
                     95,                    nan,                0.08333,                0.58333,                    nan,             4.6579e-05,             4.6579e-05,             4.6579e-05
                     96,                    nan,                0.08333,                0.58333,                    nan,             4.0359e-05,             4.0359e-05,             4.0359e-05
                     97,                    nan,                0.08333,                0.58333,                    nan,             3.3998e-05,             3.3998e-05,             3.3998e-05
                     98,                    nan,                0.08333,                0.58333,                    nan,             2.7495e-05,             2.7495e-05,             2.7495e-05
                     99,                    nan,                0.08333,                0.58333,                    nan,             2.0852e-05,             2.0852e-05,             2.0852e-05
                    100,                    nan,                0.08333,                0.58333,                    nan,             1.4067e-05,             1.4067e-05,             1.4067e-05
