                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3658,                0.95823,                0.99909,                 2.7721,              0.0033326,              0.0033326,              0.0033326
                      2,                0.22232,                0.98156,                0.99983,                 2.7143,              0.0065999,              0.0065999,              0.0065999
                      3,                 0.1841,                0.98327,                0.99977,                 2.7077,              0.0098013,              0.0098013,              0.0098013
                      4,                0.19415,                0.98765,                0.99989,                 2.6993,               0.009703,               0.009703,               0.009703
                      5,                0.13367,                0.99163,                0.99989,                 2.6944,               0.009604,               0.009604,               0.009604
                      6,                0.11889,                0.99402,                0.99994,                 2.6917,               0.009505,               0.009505,               0.009505
                      7,                0.10645,                0.99494,                0.99994,                 2.6898,               0.009406,               0.009406,               0.009406
                      8,                0.10285,                0.99454,                0.99989,                 2.6898,               0.009307,               0.009307,               0.009307
                      9,                0.09745,                0.99533,                0.99994,                 2.6887,               0.009208,               0.009208,               0.009208
                     10,                0.09276,                0.99556,                0.99994,                 2.6884,               0.009109,               0.009109,               0.009109
                     11,                0.09369,                0.99567,                0.99994,                 2.6878,                0.00901,                0.00901,                0.00901
                     12,                0.09671,                0.99562,                0.99994,                 2.6878,               0.008911,               0.008911,               0.008911
                     13,                0.09342,                0.99556,                0.99994,                 2.6878,               0.008812,               0.008812,               0.008812
                     14,                0.08711,                0.99533,                0.99994,                 2.6879,               0.008713,               0.008713,               0.008713
                     15,                0.08973,                0.99585,                0.99994,                 2.6879,               0.008614,               0.008614,               0.008614
                     16,                0.08673,                0.99585,                0.99994,                 2.6878,               0.008515,               0.008515,               0.008515
                     17,                0.08972,                0.99596,                0.99994,                 2.6877,               0.008416,               0.008416,               0.008416
                     18,                0.08568,                0.99585,                0.99994,                 2.6877,               0.008317,               0.008317,               0.008317
                     19,                0.08389,                0.99585,                0.99994,                 2.6877,               0.008218,               0.008218,               0.008218
                     20,                0.08064,                0.99585,                0.99994,                 2.6877,               0.008119,               0.008119,               0.008119
                     21,                0.07888,                0.99585,                0.99994,                 2.6877,                0.00802,                0.00802,                0.00802
                     22,                0.07956,                0.99579,                0.99994,                 2.6877,               0.007921,               0.007921,               0.007921
                     23,                0.07499,                 0.9959,                0.99994,                 2.6877,               0.007822,               0.007822,               0.007822
                     24,                 0.0753,                0.99579,                0.99994,                 2.6877,               0.007723,               0.007723,               0.007723
                     25,                0.07477,                 0.9959,                0.99994,                 2.6877,               0.007624,               0.007624,               0.007624
                     26,                0.07769,                0.99585,                0.99994,                 2.6878,               0.007525,               0.007525,               0.007525
                     27,                0.07257,                0.99602,                0.99994,                 2.6878,               0.007426,               0.007426,               0.007426
                     28,                0.07533,                0.99579,                0.99994,                 2.6879,               0.007327,               0.007327,               0.007327
                     29,                  0.072,                 0.9959,                0.99994,                 2.6879,               0.007228,               0.007228,               0.007228
                     30,                0.06882,                0.99607,                0.99994,                 2.6879,               0.007129,               0.007129,               0.007129
                     31,                0.07448,                0.99607,                0.99994,                 2.6878,                0.00703,                0.00703,                0.00703
                     32,                0.06982,                0.99613,                0.99994,                 2.6878,               0.006931,               0.006931,               0.006931
                     33,                0.06558,                0.99636,                0.99994,                 2.6877,               0.006832,               0.006832,               0.006832
                     34,                0.06664,                0.99659,                0.99994,                 2.6875,               0.006733,               0.006733,               0.006733
                     35,                0.06485,                0.99659,                0.99994,                 2.6874,               0.006634,               0.006634,               0.006634
                     36,                0.06253,                0.99664,                0.99994,                 2.6874,               0.006535,               0.006535,               0.006535
                     37,                0.06242,                0.99659,                0.99994,                 2.6873,               0.006436,               0.006436,               0.006436
                     38,                0.06063,                0.99653,                0.99994,                 2.6873,               0.006337,               0.006337,               0.006337
                     39,                0.06558,                 0.9967,                0.99994,                 2.6872,               0.006238,               0.006238,               0.006238
                     40,                0.06226,                0.99659,                0.99994,                 2.6872,               0.006139,               0.006139,               0.006139
                     41,                0.05882,                0.99664,                0.99994,                 2.6872,                0.00604,                0.00604,                0.00604
                     42,                0.05309,                 0.9967,                0.99994,                 2.6871,               0.005941,               0.005941,               0.005941
                     43,                0.05468,                0.99664,                0.99994,                  2.687,               0.005842,               0.005842,               0.005842
                     44,                0.05425,                0.99664,                0.99994,                 2.6869,               0.005743,               0.005743,               0.005743
                     45,                0.05302,                0.99681,                0.99994,                 2.6869,               0.005644,               0.005644,               0.005644
                     46,                0.05712,                0.99687,                      1,                 2.6867,               0.005545,               0.005545,               0.005545
                     47,                0.05224,                 0.9971,                      1,                 2.6866,               0.005446,               0.005446,               0.005446
                     48,                0.05298,                0.99704,                      1,                 2.6865,               0.005347,               0.005347,               0.005347
                     49,                0.05137,                0.99704,                      1,                 2.6864,               0.005248,               0.005248,               0.005248
                     50,                0.05139,                0.99704,                      1,                 2.6864,               0.005149,               0.005149,               0.005149
                     51,                 0.0468,                0.99704,                      1,                 2.6863,                0.00505,                0.00505,                0.00505
                     52,                0.04965,                0.99698,                      1,                 2.6863,               0.004951,               0.004951,               0.004951
                     53,                0.04632,                0.99698,                      1,                 2.6861,               0.004852,               0.004852,               0.004852
                     54,                0.04394,                0.99715,                      1,                  2.686,               0.004753,               0.004753,               0.004753
                     55,                0.04378,                 0.9971,                      1,                  2.686,               0.004654,               0.004654,               0.004654
                     56,                0.04115,                0.99704,                      1,                  2.686,               0.004555,               0.004555,               0.004555
                     57,                0.04394,                0.99715,                0.99994,                 2.6858,               0.004456,               0.004456,               0.004456
                     58,                0.04081,                0.99715,                0.99994,                 2.6858,               0.004357,               0.004357,               0.004357
                     59,                0.04189,                0.99727,                0.99994,                 2.6857,               0.004258,               0.004258,               0.004258
                     60,                0.03997,                0.99715,                0.99994,                 2.6856,               0.004159,               0.004159,               0.004159
                     61,                0.03878,                0.99727,                0.99994,                 2.6856,                0.00406,                0.00406,                0.00406
                     62,                0.03589,                0.99727,                0.99994,                 2.6855,               0.003961,               0.003961,               0.003961
                     63,                 0.0357,                0.99744,                0.99994,                 2.6854,               0.003862,               0.003862,               0.003862
                     64,                 0.0344,                0.99738,                0.99994,                 2.6854,               0.003763,               0.003763,               0.003763
                     65,                0.03535,                 0.9975,                      1,                 2.6853,               0.003664,               0.003664,               0.003664
                     66,                0.03443,                0.99772,                      1,                 2.6851,               0.003565,               0.003565,               0.003565
                     67,                0.03318,                0.99778,                      1,                 2.6851,               0.003466,               0.003466,               0.003466
                     68,                0.03097,                0.99778,                      1,                  2.685,               0.003367,               0.003367,               0.003367
                     69,                0.03225,                0.99784,                      1,                 2.6849,               0.003268,               0.003268,               0.003268
                     70,                0.02857,                0.99789,                      1,                 2.6849,               0.003169,               0.003169,               0.003169
                     71,                0.02877,                0.99789,                      1,                 2.6848,                0.00307,                0.00307,                0.00307
                     72,                0.02879,                0.99801,                      1,                 2.6847,               0.002971,               0.002971,               0.002971
                     73,                0.02861,                0.99818,                      1,                 2.6847,               0.002872,               0.002872,               0.002872
                     74,                0.02833,                0.99812,                      1,                 2.6846,               0.002773,               0.002773,               0.002773
                     75,                0.02458,                0.99818,                      1,                 2.6846,               0.002674,               0.002674,               0.002674
                     76,                0.02445,                0.99824,                      1,                 2.6845,               0.002575,               0.002575,               0.002575
                     77,                0.02115,                0.99835,                      1,                 2.6844,               0.002476,               0.002476,               0.002476
                     78,                0.02051,                0.99835,                      1,                 2.6843,               0.002377,               0.002377,               0.002377
                     79,                0.01873,                0.99835,                      1,                 2.6843,               0.002278,               0.002278,               0.002278
                     80,                0.02053,                0.99841,                      1,                 2.6842,               0.002179,               0.002179,               0.002179
                     81,                0.01896,                0.99841,                      1,                 2.6841,                0.00208,                0.00208,                0.00208
                     82,                0.01786,                0.99858,                      1,                  2.684,               0.001981,               0.001981,               0.001981
                     83,                0.01633,                0.99863,                      1,                 2.6839,               0.001882,               0.001882,               0.001882
                     84,                0.01533,                0.99869,                      1,                 2.6839,               0.001783,               0.001783,               0.001783
                     85,                0.01386,                0.99875,                      1,                 2.6838,               0.001684,               0.001684,               0.001684
                     86,                 0.0138,                0.99869,                      1,                 2.6837,               0.001585,               0.001585,               0.001585
                     87,                  0.012,                 0.9988,                      1,                 2.6837,               0.001486,               0.001486,               0.001486
                     88,                0.01171,                 0.9988,                      1,                 2.6837,               0.001387,               0.001387,               0.001387
                     89,                0.01198,                0.99886,                      1,                 2.6836,               0.001288,               0.001288,               0.001288
                     90,                0.01064,                0.99892,                      1,                 2.6836,               0.001189,               0.001189,               0.001189
                     91,                0.01067,                0.99898,                      1,                 2.6835,                0.00109,                0.00109,                0.00109
                     92,                 0.0092,                0.99898,                      1,                 2.6835,               0.000991,               0.000991,               0.000991
                     93,                0.00897,                0.99903,                      1,                 2.6834,               0.000892,               0.000892,               0.000892
                     94,                0.00825,                0.99903,                      1,                 2.6834,               0.000793,               0.000793,               0.000793
                     95,                0.00754,                0.99909,                      1,                 2.6834,               0.000694,               0.000694,               0.000694
                     96,                0.00717,                0.99909,                      1,                 2.6833,               0.000595,               0.000595,               0.000595
                     97,                0.00619,                0.99909,                      1,                 2.6832,               0.000496,               0.000496,               0.000496
                     98,                0.00672,                0.99926,                      1,                 2.6832,               0.000397,               0.000397,               0.000397
                     99,                0.00598,                0.99932,                      1,                 2.6832,               0.000298,               0.000298,               0.000298
                    100,                0.00575,                0.99932,                      1,                 2.6831,               0.000199,               0.000199,               0.000199
